1.507	0.008
1.507	0.009
1.507	0.011
1.507	0.013
1.507	0.014
1.507	0.017
1.507	0.019
1.507	0.022
1.507	0.025
1.507	0.029
1.507	0.033
1.507	0.038
1.507	0.044
1.507	0.051
1.507	0.058
1.507	0.067
1.507	0.077
1.507	0.089
1.507	0.102
1.507	0.117
1.507	0.135
1.507	0.142
1.507	0.149
1.507	0.156
1.507	0.164
1.507	0.172
1.507	0.181
1.507	0.190
1.507	0.199
1.507	0.209
1.507	0.220
1.507	0.231
1.507	0.242
1.507	0.254
1.507	0.267
1.507	0.280
1.507	0.294
1.507	0.309
1.507	0.325
1.507	0.341
1.507	0.358
1.507	0.376
1.507	0.395
1.507	0.414
1.507	0.435
1.507	0.457
1.507	0.480
