d/s=0.500001	
1.5228	2.751
1.5228	2.889
1.5228	3.033
1.3620	3.049
1.2486	3.064
1.2486	3.079
1.2486	3.095
1.2486	3.110
1.2486	3.126
1.2486	3.141
1.2486	3.157
1.2486	3.173
1.2486	3.189
1.2486	3.205
1.2486	3.221
1.2486	3.237
1.2486	3.253
1.2486	3.269
1.2486	3.285
1.2486	3.302
1.2486	3.318
1.2486	3.335
1.2486	3.352
1.2486	3.368
1.2486	3.385
1.2486	3.402
1.2486	3.419
1.2486	3.436
1.2486	3.453
1.2486	3.471
1.2486	3.488
1.2486	3.506
1.2486	3.523
1.2486	3.541
1.2486	3.558
1.2486	3.576
1.2486	3.594
1.2486	3.612
1.2486	3.630
1.2486	3.648
1.2486	3.666
1.2486	3.685


d/s=0.(6)	
2.0875	0.524
2.0875	0.550
2.0875	0.578
2.0875	0.606
2.0875	0.637
2.0875	0.669
2.0875	0.702
2.0875	0.737
2.0875	0.774
2.0875	0.813
2.0875	0.853
2.0875	0.896
2.0875	0.941
2.0875	0.988
2.0875	1.037
2.0875	1.089
2.0875	1.144
2.0875	1.201
2.0875	1.261
2.0875	1.324
2.0875	1.350
2.0875	1.364
2.0875	1.377
2.0875	1.391
2.0875	1.405
2.0875	1.419
2.0875	1.433
2.0875	1.448
2.0875	1.462
2.0875	1.477
2.0875	1.492
2.0875	1.507
2.0875	1.522
2.0875	1.537
2.0875	1.552
2.0875	1.568
2.0875	1.583
2.0875	1.599
2.0875	1.615
2.0875	1.631
1.4822	1.648
1.4822	1.730
1.4822	1.817
1.4822	1.907
1.4822	2.003
1.4822	2.103
1.4822	2.208
1.4822	2.318
1.4822	2.434
1.4822	2.556
1.4822	2.684
1.4822	2.818
1.4822	2.959
1.3085	3.107
1.2192	3.122
1.2192	3.138
1.2192	3.154
1.2192	3.170
1.2192	3.185
1.2192	3.201
1.2192	3.217
1.2192	3.233
1.2192	3.250
1.2192	3.266
1.2192	3.282
1.2192	3.299
1.2192	3.315
1.2192	3.332
1.2192	3.348
1.2192	3.365
1.2192	3.382
1.2192	3.399
1.2192	3.416
1.2192	3.433
1.2192	3.450
1.2192	3.467
1.2192	3.485
1.2192	3.502
1.2192	3.520
1.2192	3.537
1.2192	3.555
1.2192	3.573
1.2192	3.590
1.2192	3.608
1.2192	3.626
1.2192	3.645


d/s=0.8	
1.8193	0.698
1.8193	0.733
1.8193	0.770
1.8193	0.808
1.8193	0.848
1.8193	0.891
1.8193	0.935
1.8193	0.982
1.8193	1.031
1.8193	1.083
1.8193	1.137
1.8193	1.148
1.8193	1.160
1.8193	1.171
1.8193	1.183
1.8193	1.195
1.8193	1.207
1.8193	1.219
1.8193	1.231
1.8193	1.243
1.8193	1.256
1.8193	1.268
1.8193	1.281
1.8193	1.294
1.8193	1.307
1.8193	1.320
1.8193	1.333
1.8193	1.347
1.8193	1.360
1.8193	1.374
1.8193	1.387
1.8193	1.401
1.8193	1.415
1.4323	1.429
1.4323	1.501
1.4323	1.576
1.4323	1.655
1.4323	1.737
1.4323	1.824
1.4323	1.915
1.4323	2.011
1.4323	2.112
1.4323	2.217
1.4323	2.328
1.4323	2.445
1.4323	2.567
1.4323	2.695
1.4323	2.830
1.4323	2.972
1.2481	3.120
1.1720	3.136
1.1720	3.151
1.1720	3.167
1.1720	3.183
1.1720	3.199
1.1720	3.215
1.1720	3.231
1.1720	3.247
1.1720	3.263
1.1720	3.280
1.1720	3.296
1.1720	3.313
1.1720	3.329
1.1720	3.346
1.1720	3.362
1.1720	3.379
1.1720	3.396
1.1720	3.413
1.1720	3.430
1.1720	3.447
1.1720	3.465
1.1720	3.482
1.1720	3.499
1.1720	3.517
1.1720	3.534
1.1720	3.552
1.1720	3.570
1.1720	3.588
1.1720	3.606
1.1720	3.624
1.1720	3.642
1.1720	3.660
1.1720	3.678
1.1720	3.697
1.1720	3.715
1.1720	3.734
1.1720	3.752
1.1720	3.771
1.1720	3.790
1.1720	3.809
1.1720	3.828


d/s=1	
1.8822	0.456
1.8822	0.478
1.8822	0.502
1.8822	0.527
1.8822	0.554
1.8822	0.581
1.8822	0.610
1.8822	0.641
1.8822	0.673
1.8822	0.707
1.8822	0.742
1.8822	0.779
1.8822	0.818
1.8822	0.859
1.8822	0.902
1.8822	0.947
1.8822	0.956
1.8822	0.966
1.8822	0.976
1.8822	0.985
1.8822	0.995
1.8822	1.005
1.8822	1.015
1.8822	1.025
1.8822	1.036
1.8822	1.046
1.8822	1.056
1.8822	1.067
1.8822	1.078
1.8822	1.088
1.8822	1.099
1.8822	1.110
1.8822	1.121
1.8822	1.133
1.8822	1.144
1.8822	1.155
1.8822	1.167
1.8822	1.179
1.4115	1.190
1.4115	1.250
1.4115	1.312
1.4115	1.378
1.4115	1.447
1.4115	1.519
1.4115	1.595
1.4115	1.675
1.4115	1.759
1.4115	1.847
1.4115	1.939
1.4115	2.036
1.4115	2.138
1.4115	2.245
1.4115	2.357
1.4115	2.475
1.4115	2.599
1.4115	2.729
1.4115	2.865
1.4115	3.008
1.1958	3.159
1.1398	3.174
1.1398	3.190
1.1398	3.206
1.1398	3.222
1.1398	3.238
1.1398	3.255
1.1398	3.271
1.1398	3.287
1.1398	3.304
1.1398	3.320
1.1398	3.337
1.1398	3.353
1.1398	3.370
1.1398	3.387
1.1398	3.404
1.1398	3.421
1.1398	3.438
1.1398	3.455
1.1398	3.473
1.1398	3.490
1.1398	3.507
1.1398	3.525
1.1398	3.543
1.1398	3.560
1.1398	3.578
1.1398	3.596
1.1398	3.614
1.1398	3.632
1.1398	3.650
1.1398	3.668
1.1398	3.687
1.1398	3.705
1.1398	3.724
1.1398	3.742
1.1398	3.761
1.1398	3.780
1.1398	3.799
1.1398	3.818
1.1398	3.837
1.1398	3.856
1.1398	3.875
1.1398	3.895


d/s=1.2	
1.7845	0.442
1.7845	0.464
1.7845	0.488
1.7845	0.512
1.7845	0.538
1.7845	0.564
1.7845	0.593
1.7845	0.622
1.7845	0.653
1.7845	0.686
1.7845	0.720
1.7845	0.756
1.7845	0.794
1.7845	0.834
1.7845	0.842
1.7845	0.851
1.7845	0.859
1.7845	0.868
1.7845	0.876
1.7845	0.885
1.7845	0.894
1.7845	0.903
1.7845	0.912
1.7845	0.921
1.7845	0.930
1.7845	0.940
1.7845	0.949
1.7845	0.959
1.7845	0.968
1.7845	0.978
1.7845	0.988
1.7845	0.997
1.3865	1.007
1.3865	1.058
1.3865	1.111
1.3865	1.166
1.3865	1.225
1.3865	1.286
1.3865	1.350
1.3865	1.418
1.3865	1.488
1.3865	1.563
1.3865	1.641
1.3865	1.723
1.3865	1.809
1.3865	1.900
1.3865	1.995
1.3865	2.094
1.3865	2.199
1.3865	2.309
1.3865	2.424
1.3865	2.546
1.3865	2.673
1.3865	2.807
1.3865	2.947
1.3865	3.094
1.1572	3.249
1.1142	3.265
1.1142	3.282
1.1142	3.298
1.1142	3.314
1.1142	3.331
1.1142	3.348
1.1142	3.364
1.1142	3.381
1.1142	3.398
1.1142	3.415
1.1142	3.432
1.1142	3.449
1.1142	3.467
1.1142	3.484
1.1142	3.501
1.1142	3.519
1.1142	3.536
1.1142	3.554
1.1142	3.572
1.1142	3.590
1.1142	3.608
1.1142	3.626
1.1142	3.644
1.1142	3.662
1.1142	3.680
1.1142	3.699
1.1142	3.717
1.1142	3.736
1.1142	3.755
1.1142	3.773
1.1142	3.792
1.1142	3.811
1.1142	3.830
1.1142	3.849
1.1142	3.869
1.1142	3.888
1.1142	3.907
1.1142	3.927
1.1142	3.947
1.1142	3.966


d/s=1.5	
1.7283	0.380
1.7283	0.399
1.7283	0.419
1.7283	0.439
1.7283	0.461
1.7283	0.485
1.7283	0.509
1.7283	0.534
1.7283	0.561
1.7283	0.589
1.7283	0.618
1.7283	0.649
1.7283	0.682
1.7283	0.689
1.7283	0.695
1.7283	0.702
1.7283	0.709
1.7283	0.717
1.7283	0.724
1.7283	0.731
1.7283	0.738
1.7283	0.746
1.7283	0.753
1.7283	0.761
1.7283	0.768
1.7283	0.776
1.7283	0.784
1.7283	0.791
1.7283	0.799
1.7283	0.807
1.7283	0.815
1.7283	0.824
1.7283	0.832
1.3657	0.840
1.3657	0.882
1.3657	0.926
1.3657	0.973
1.3657	1.021
1.3657	1.072
1.3657	1.126
1.3657	1.182
1.3657	1.241
1.3657	1.303
1.3657	1.369
1.3657	1.437
1.3657	1.509
1.3657	1.584
1.3657	1.664
1.3657	1.747
1.3657	1.834
1.3657	1.926
1.3657	2.022
1.3657	2.123
1.3657	2.229
1.3657	2.341
1.3657	2.458
1.3657	2.581
1.3657	2.710
1.3657	2.845
1.3657	2.987
1.1288	3.137
1.0798	3.168
1.0798	3.200
1.0798	3.232
1.0798	3.264
1.0798	3.297
1.0798	3.330
1.0798	3.363
1.0798	3.397
1.0798	3.431
1.0798	3.465
1.0798	3.500
1.0798	3.535
1.0798	3.570
1.0798	3.606
1.0798	3.642
1.0798	3.678
1.0798	3.715
1.0798	3.752
1.0798	3.790
1.0798	3.828
1.0798	3.866
1.0798	3.904
1.0798	3.943
1.0798	3.983
1.0798	4.023
1.0798	4.063
1.0798	4.104
1.0798	4.145
1.0798	4.186
1.0798	4.228
1.0798	4.270
1.0798	4.313
1.0798	4.356
1.0798	4.400
1.0798	4.444
1.0798	4.488


d/s=2	
1.6470	0.338
1.6470	0.355
1.6470	0.373
1.6470	0.392
1.6470	0.411
1.6470	0.432
1.6470	0.453
1.6470	0.476
1.6470	0.500
1.6470	0.525
1.6470	0.530
1.6470	0.536
1.6470	0.541
1.6470	0.546
1.6470	0.552
1.6470	0.557
1.6470	0.563
1.6470	0.568
1.6470	0.574
1.6470	0.580
1.6470	0.586
1.6470	0.592
1.6470	0.597
1.6470	0.603
1.6470	0.609
1.6470	0.616
1.6470	0.622
1.6470	0.628
1.6470	0.634
1.6470	0.641
1.3459	0.647
1.3459	0.679
1.3459	0.713
1.3459	0.749
1.3459	0.786
1.3459	0.826
1.3459	0.867
1.3459	0.910
1.3459	0.956
1.3459	1.004
1.3459	1.054
1.3459	1.107
1.3459	1.162
1.3459	1.220
1.3459	1.281
1.3459	1.345
1.3459	1.412
1.3459	1.483
1.3459	1.557
1.3459	1.635
1.3459	1.717
1.3459	1.802
1.3459	1.893
1.3459	1.987
1.3459	2.087
1.3459	2.191
1.3459	2.300
1.3459	2.415
1.3459	2.536
1.3459	2.663
1.1014	2.796
1.0521	2.824
1.0521	2.852
1.0521	2.881
1.0521	2.910
1.0521	2.939
1.0521	2.968
1.0521	2.998
1.0521	3.028
1.0521	3.058
1.0521	3.089
1.0521	3.120
1.0521	3.151
1.0521	3.182
1.0521	3.214
1.0521	3.246
1.0521	3.279
1.0521	3.312
1.0521	3.345
1.0521	3.378
1.0521	3.412
1.0521	3.446
1.0521	3.480
1.0521	3.515
1.0521	3.550
1.0521	3.586
1.0521	3.622
1.0521	3.658
1.0521	3.695
1.0521	3.731
1.0521	3.769
1.0521	3.806
1.0521	3.845
1.0521	3.883
1.0521	3.922
1.0521	3.961
1.0521	4.001
1.0521	4.041
1.0521	4.081
1.0521	4.122
1.0521	4.163
